shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10215,45.390327,-73.976528,30039,6.282
10215,45.390381,-73.976368,30040,6.296
10215,45.390450,-73.976180,30041,6.313
10215,45.390672,-73.975567,30042,6.367
10215,45.390876,-73.975038,30043,6.414
10215,45.390993,-73.974736,30044,6.441
10215,45.391174,-73.974283,30045,6.482
10215,45.391275,-73.974029,30046,6.505
10215,45.391333,-73.973888,30047,6.518
10215,45.391441,-73.973635,30048,6.541
10215,45.391843,-73.972693,30049,6.627
10215,45.391997,-73.972339,30050,6.660
10215,45.392196,-73.971902,30051,6.700
10215,45.392360,-73.971545,30052,6.734
10215,45.392576,-73.971102,30053,6.776
10215,45.392701,-73.970847,30054,6.800
10215,45.392829,-73.970593,30055,6.825
10215,45.393101,-73.970057,30056,6.876
10215,45.393221,-73.969821,30057,6.899
10215,45.393306,-73.969666,30058,6.915
10215,45.393753,-73.968846,30059,6.996
10215,45.394148,-73.968159,30060,7.065
10215,45.394369,-73.967783,30061,7.104
10215,45.394518,-73.967532,30062,7.130
10215,45.394578,-73.967433,30063,7.140
10215,45.394897,-73.966924,30064,7.193
10215,45.394954,-73.966832,30065,7.203
10215,45.395051,-73.966685,30066,7.218
10215,45.395217,-73.966432,30067,7.245
10215,45.395351,-73.966227,30068,7.267
10215,45.395597,-73.965857,30069,7.307
10215,45.395720,-73.965671,30070,7.327
10215,45.395910,-73.965395,30071,7.357
10215,45.395910,-73.965395,40001,7.357
10215,45.396464,-73.964591,40002,7.446
10215,45.396620,-73.964380,40003,7.470
10215,45.396836,-73.964093,40004,7.503
10215,45.396971,-73.963912,40005,7.523
10215,45.397012,-73.963860,40006,7.529
10215,45.397327,-73.963475,40007,7.576
10215,45.397459,-73.963312,40008,7.595
10215,45.397635,-73.963100,40009,7.621
10215,45.397914,-73.962764,40010,7.661
10215,45.398498,-73.962068,40011,7.746
10215,45.398867,-73.961648,40012,7.799
10215,45.399181,-73.961297,40013,7.843
10215,45.399320,-73.961140,40014,7.863
10215,45.399415,-73.961037,40015,7.876
10215,45.399849,-73.960581,40016,7.936
10215,45.400390,-73.960010,40017,8.011
10215,45.400848,-73.959527,40018,8.075
10215,45.401299,-73.959051,40019,8.137
10215,45.401598,-73.958734,40020,8.179
10215,45.401683,-73.958647,40021,8.190
10215,45.402088,-73.958230,40022,8.246
10215,45.402605,-73.957699,40023,8.317
10215,45.402999,-73.957292,40024,8.371
10215,45.403465,-73.956818,40025,8.435
10215,45.403975,-73.956295,40026,8.505
10215,45.404512,-73.955744,40027,8.579
10215,45.404617,-73.955636,40028,8.593
10215,45.404701,-73.955548,40029,8.605
10215,45.405030,-73.955200,40030,8.650
10215,45.405221,-73.954996,40031,8.677
10215,45.405393,-73.954809,40032,8.701
10215,45.405449,-73.954747,40033,8.709
10215,45.405512,-73.954674,40034,8.718
10215,45.405875,-73.954248,40035,8.770
10215,45.406038,-73.954054,40036,8.794
10215,45.406073,-73.954013,40037,8.799
10215,45.406110,-73.953966,40038,8.805
10215,45.406384,-73.953606,40039,8.846
10215,45.406515,-73.953413,40040,8.867
10215,45.406631,-73.953242,40041,8.886
10215,45.406670,-73.953178,40042,8.892
10215,45.406847,-73.952880,40043,8.923
10215,45.406864,-73.952851,40044,8.926
10215,45.406881,-73.952819,40045,8.929
10215,45.407033,-73.952538,40046,8.957
10215,45.407056,-73.952493,40047,8.961
10215,45.407124,-73.952352,40048,8.974
10215,45.407221,-73.952149,40049,8.993
10215,45.407290,-73.951989,40050,9.008
10215,45.407411,-73.951709,40051,9.034
10215,45.407476,-73.951552,40052,9.048
10215,45.407575,-73.951302,40053,9.071
10215,45.407615,-73.951190,40054,9.081
10215,45.407615,-73.951190,50001,9.081
10215,45.407737,-73.950855,50002,9.110
10215,45.407810,-73.950607,50003,9.131
10215,45.407956,-73.950114,50004,9.173
10215,45.408017,-73.949908,50005,9.190
10215,45.408104,-73.949557,50006,9.220
10215,45.408201,-73.949161,50007,9.252
10215,45.408341,-73.948573,50008,9.301
10215,45.408581,-73.947501,50009,9.389
10215,45.408715,-73.946926,50010,9.437
10215,45.408755,-73.946763,50011,9.450
10215,45.408820,-73.946503,50012,9.472
10215,45.408846,-73.946404,50013,9.480
10215,45.408877,-73.946293,50014,9.489
10215,45.408982,-73.945914,50015,9.521
10215,45.408992,-73.945879,50016,9.524
10215,45.409024,-73.945774,50017,9.533
10215,45.409255,-73.945034,50018,9.597
10215,45.409329,-73.944804,50019,9.616
10215,45.409652,-73.943881,50020,9.697
10215,45.409728,-73.943669,50021,9.716
10215,45.409876,-73.943262,50022,9.752
10215,45.410022,-73.942861,50023,9.787
10215,45.410259,-73.942196,50024,9.845
10215,45.411268,-73.939377,50025,10.093
10215,45.411350,-73.939152,50026,10.113
10215,45.412107,-73.937073,50027,10.296
10215,45.412975,-73.934693,50028,10.506
10215,45.413334,-73.933704,50029,10.593
10215,45.413799,-73.932424,50030,10.706
10215,45.413952,-73.931998,50031,10.743
10215,45.414215,-73.931272,50032,10.807
10215,45.414567,-73.930297,50033,10.893
10215,45.414848,-73.929517,50034,10.962
10215,45.414952,-73.929227,50035,10.987
10215,45.415162,-73.928645,50036,11.038
10215,45.415413,-73.927947,50037,11.100
10215,45.415712,-73.927121,50038,11.172
10215,45.416074,-73.926116,50039,11.261
10215,45.416687,-73.924419,50040,11.410
10215,45.418674,-73.918920,50041,11.894
10215,45.419419,-73.916866,50042,12.075
10215,45.419457,-73.916763,50043,12.084
10215,45.419553,-73.916497,50044,12.108
10215,45.419897,-73.915542,50045,12.192
10215,45.419897,-73.915542,60001,12.192
10215,45.420760,-73.913148,60002,12.402
10215,45.421664,-73.910646,60003,12.622
10215,45.422774,-73.907574,60004,12.893
10215,45.423218,-73.906333,60005,13.002
10215,45.423546,-73.905419,60006,13.082
10215,45.423615,-73.905228,60007,13.099
10215,45.423656,-73.905103,60008,13.110
10215,45.424092,-73.903778,60009,13.224
10215,45.424218,-73.903397,60010,13.257
10215,45.424444,-73.902655,60011,13.320
10215,45.424456,-73.902616,60012,13.324
10215,45.424491,-73.902485,60013,13.335
10215,45.424812,-73.901324,60014,13.432
10215,45.425054,-73.900407,60015,13.509
10215,45.425093,-73.900241,60016,13.523
10215,45.425338,-73.899215,60017,13.607
10215,45.425379,-73.899035,60018,13.622
10215,45.425479,-73.898592,60019,13.659
10215,45.425644,-73.897776,60020,13.725
10215,45.425844,-73.896788,60021,13.806
10215,45.426007,-73.895789,60022,13.886
10215,45.426236,-73.894422,60023,13.996
10215,45.426300,-73.894026,60024,14.028
10215,45.426602,-73.892121,60025,14.181
10215,45.426951,-73.889928,60026,14.357
10215,45.427039,-73.889377,60027,14.401
10215,45.427375,-73.887245,60028,14.572
10215,45.427375,-73.887245,70001,14.572
10215,45.427873,-73.884098,70002,14.825
10215,45.427988,-73.883376,70003,14.883
10215,45.428179,-73.882182,70004,14.978
10215,45.428681,-73.878989,70005,15.235
10215,45.428976,-73.877125,70006,15.384
10215,45.429529,-73.873647,70007,15.663
10215,45.429596,-73.873218,70008,15.698
10215,45.430079,-73.870192,70009,15.941
10215,45.430722,-73.866096,70010,16.269
10215,45.431297,-73.862482,70011,16.559
10215,45.431370,-73.862034,70012,16.595
10215,45.431475,-73.861382,70013,16.648
10215,45.431515,-73.861169,70014,16.665
10215,45.431715,-73.860099,70015,16.752
10215,45.431862,-73.859366,70016,16.811
10215,45.431968,-73.858845,70017,16.854
10215,45.432219,-73.857771,70018,16.942
10215,45.432433,-73.856889,70019,17.015
10215,45.432467,-73.856761,70020,17.026
10215,45.432548,-73.856455,70021,17.051
10215,45.432666,-73.856008,70022,17.089
10215,45.432820,-73.855433,70023,17.137
10215,45.433287,-73.853705,70024,17.282
10215,45.434198,-73.850313,70025,17.566
10215,45.434373,-73.849656,70026,17.621
10215,45.434570,-73.848922,70027,17.683
10215,45.434772,-73.848171,70028,17.745
10215,45.434963,-73.847461,70029,17.805
10215,45.434983,-73.847389,70030,17.811
10215,45.434982,-73.847391,80001,17.811
10215,45.435250,-73.846402,80002,17.894
10215,45.435450,-73.845668,80003,17.955
10215,45.435647,-73.844941,80004,18.016
10215,45.435850,-73.844184,80005,18.080
10215,45.436050,-73.843438,80006,18.142
10215,45.436268,-73.842626,80007,18.210
10215,45.437245,-73.839012,80008,18.514
10215,45.437761,-73.837105,80009,18.673
10215,45.438367,-73.834857,80010,18.862
10215,45.439164,-73.831883,80011,19.111
10215,45.439333,-73.831252,80012,19.164
10215,45.439542,-73.830501,80013,19.227
10215,45.439746,-73.829751,80014,19.290
10215,45.439950,-73.829002,80015,19.353
10215,45.440244,-73.827906,80016,19.445
10215,45.440559,-73.826732,80017,19.543
10215,45.440779,-73.825917,80018,19.611
10215,45.441016,-73.825045,80019,19.684
10215,45.441287,-73.824043,80020,19.768
10215,45.441558,-73.823031,80021,19.853
10215,45.441706,-73.822475,80022,19.900
10215,45.441864,-73.821890,80023,19.949
10215,45.442017,-73.821316,80024,19.997
10215,45.442089,-73.821046,80025,20.020
10215,45.442410,-73.819869,80026,20.118
10215,45.442409,-73.819873,90001,20.118
10215,45.442797,-73.818447,90002,20.238
10215,45.443495,-73.815852,90003,20.455
10215,45.443560,-73.815612,90004,20.476
10215,45.443789,-73.814781,90005,20.545
10215,45.443904,-73.814361,90006,20.581
10215,45.443962,-73.814168,90007,20.597
10215,45.444219,-73.813325,90008,20.669
10215,45.444762,-73.811537,90009,20.821
10215,45.445126,-73.810341,90010,20.923
10215,45.445320,-73.809705,90011,20.977
10215,45.445516,-73.809064,90012,21.032
10215,45.445749,-73.808293,90013,21.098
10215,45.446660,-73.805281,90014,21.354
10215,45.446844,-73.804672,90015,21.406
10215,45.447222,-73.803419,90016,21.513
10215,45.447222,-73.803419,100001,21.513
10215,45.447583,-73.802206,100002,21.616
10215,45.447972,-73.800804,100003,21.734
10215,45.448059,-73.800492,100004,21.760
10215,45.448080,-73.800405,100005,21.767
10215,45.448190,-73.799946,100006,21.805
10215,45.448403,-73.799043,100007,21.880
10215,45.448461,-73.798794,100008,21.901
10215,45.448655,-73.797912,100009,21.973
10215,45.448709,-73.797665,100010,21.993
10215,45.448754,-73.797437,100011,22.012
10215,45.448908,-73.796649,100012,22.076
10215,45.448937,-73.796503,100013,22.088
10215,45.448998,-73.796146,100014,22.116
10215,45.449087,-73.795620,100015,22.159
10215,45.449182,-73.795061,100016,22.204
10215,45.449208,-73.794901,100017,22.216
